millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
10248945.0,3.76,12.4,0.615,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,307673.0,1603216093.25
10249947.0,3.75,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,307774.0,1603216094.25
10250946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,307875.0,1603216095.25
10251945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,307976.0,1603216096.25
10252945.0,3.76,12.4,0.621,0.409,15.0,73.0,2.0,0.0,0.0,56.0,51.0,308077.0,1603216097.25
10253946.0,3.76,12.4,0.621,0.403,16.0,73.0,2.0,0.0,0.0,56.0,51.0,308178.0,1603216098.25
10254946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,308279.0,1603216099.25
10255945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,308380.0,1603216100.25
10256947.0,3.75,12.4,0.621,0.403,17.0,74.0,1.0,0.0,0.0,56.0,51.0,308481.0,1603216101.25
10257946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,308582.0,1603216102.25
10258946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,308683.0,1603216103.25
10259945.0,3.75,12.4,0.621,0.406,12.0,74.0,1.0,0.0,0.0,56.0,51.0,308784.0,1603216104.25
10260946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,308885.0,1603216105.25
10261946.0,3.75,12.4,0.618,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,308986.0,1603216106.25
10262945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309087.0,1603216107.25
10263945.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,309188.0,1603216108.25
10264946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309289.0,1603216109.25
10265948.0,3.7,12.4,0.624,0.421,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309390.0,1603216110.25
10266945.0,3.76,12.4,0.618,0.409,12.0,74.0,1.0,0.0,0.0,56.0,51.0,309491.0,1603216111.25
10267947.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309592.0,1603216112.25
10268946.0,3.76,12.4,0.621,0.403,15.0,73.0,2.0,0.0,0.0,56.0,51.0,309693.0,1603216113.25
10269945.0,3.75,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309794.0,1603216114.25
10270945.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,309895.0,1603216115.25
10271946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,309996.0,1603216116.25
10272946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,310097.0,1603216117.25
10273945.0,3.75,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,310198.0,1603216118.25
10274947.0,3.75,12.4,0.621,0.403,16.0,74.0,1.0,0.0,0.0,56.0,51.0,310299.0,1603216119.25
10275946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,310400.0,1603216120.25
10276945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,310501.0,1603216121.25
10277945.0,3.76,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,310602.0,1603216122.25
10278946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,310703.0,1603216123.25
10279946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,310804.0,1603216124.25
10280945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,310905.0,1603216125.25
10281947.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,311006.0,1603216126.25
10282946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311107.0,1603216127.25
10283945.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311208.0,1603216128.25
10284945.0,3.75,12.4,0.621,0.403,17.0,73.0,2.0,0.0,0.0,56.0,51.0,311309.0,1603216129.25
10285946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311410.0,1603216130.25
10286946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,311511.0,1603216131.25
10287945.0,3.75,12.4,0.618,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311612.0,1603216132.25
10288947.0,3.76,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,311713.0,1603216133.25
10289946.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311814.0,1603216134.25
10290948.0,3.7,12.4,0.624,0.418,14.0,74.0,1.0,0.0,0.0,56.0,51.0,311915.0,1603216135.25
10291945.0,3.76,12.4,0.618,0.4,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312016.0,1603216136.25
10292946.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312117.0,1603216137.25
10293946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,312218.0,1603216138.25
10294945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312319.0,1603216139.25
10295945.0,3.76,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,312420.0,1603216140.25
10296946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312521.0,1603216141.25
10297946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312622.0,1603216142.25
